# waypointsExp.dat
# This file contains the spawn point definitions for experiments
# Spawn points are defined to be waypoints
# Each spawn point is defined by the following 7 parameters:
# code, name (N/A), lat [deg], lon [deg], airport (N/A), type (RNAV), country code (INT)

@0, N/A, 4.1638590354, -4.1638590354, N/A, RNAV, INT

@1, N/A, 4.1638590354, -4.0805818547, N/A, RNAV, INT

@2, N/A, 4.1638590354, -3.99730467399, N/A, RNAV, INT

@3, N/A, 4.1638590354, -3.91402749328, N/A, RNAV, INT

@4, N/A, 4.1638590354, -3.83075031257, N/A, RNAV, INT

@5, N/A, 4.1638590354, -3.74747313186, N/A, RNAV, INT

@6, N/A, 4.1638590354, -3.66419595116, N/A, RNAV, INT

@7, N/A, 4.1638590354, -3.58091877045, N/A, RNAV, INT

@8, N/A, 4.1638590354, -3.49764158974, N/A, RNAV, INT

@9, N/A, 4.1638590354, -3.41436440903, N/A, RNAV, INT

@A, N/A, 4.1638590354, -3.33108722832, N/A, RNAV, INT

@B, N/A, 4.1638590354, -3.24781004761, N/A, RNAV, INT

@C, N/A, 4.1638590354, -3.16453286691, N/A, RNAV, INT

@D, N/A, 4.1638590354, -3.0812556862, N/A, RNAV, INT

@E, N/A, 4.1638590354, -2.99797850549, N/A, RNAV, INT

@F, N/A, 4.1638590354, -2.91470132478, N/A, RNAV, INT

@G, N/A, 4.1638590354, -2.83142414407, N/A, RNAV, INT

@H, N/A, 4.1638590354, -2.74814696337, N/A, RNAV, INT

@I, N/A, 4.1638590354, -2.66486978266, N/A, RNAV, INT

@J, N/A, 4.1638590354, -2.58159260195, N/A, RNAV, INT

@K, N/A, 4.1638590354, -2.49831542124, N/A, RNAV, INT

@L, N/A, 4.1638590354, -2.41503824053, N/A, RNAV, INT

@M, N/A, 4.1638590354, -2.33176105983, N/A, RNAV, INT

@N, N/A, 4.1638590354, -2.24848387912, N/A, RNAV, INT

@O, N/A, 4.1638590354, -2.16520669841, N/A, RNAV, INT

@P, N/A, 4.1638590354, -2.0819295177, N/A, RNAV, INT

@Q, N/A, 4.1638590354, -1.99865233699, N/A, RNAV, INT

@R, N/A, 4.1638590354, -1.91537515629, N/A, RNAV, INT

@S, N/A, 4.1638590354, -1.83209797558, N/A, RNAV, INT

@T, N/A, 4.1638590354, -1.74882079487, N/A, RNAV, INT

@U, N/A, 4.1638590354, -1.66554361416, N/A, RNAV, INT

@V, N/A, 4.1638590354, -1.58226643345, N/A, RNAV, INT

@W, N/A, 4.1638590354, -1.49898925275, N/A, RNAV, INT

@X, N/A, 4.1638590354, -1.41571207204, N/A, RNAV, INT

@Y, N/A, 4.1638590354, -1.33243489133, N/A, RNAV, INT

@Z, N/A, 4.1638590354, -1.24915771062, N/A, RNAV, INT

@10, N/A, 4.1638590354, -1.16588052991, N/A, RNAV, INT

@11, N/A, 4.1638590354, -1.0826033492, N/A, RNAV, INT

@12, N/A, 4.1638590354, -0.999326168497, N/A, RNAV, INT

@13, N/A, 4.1638590354, -0.916048987789, N/A, RNAV, INT

@14, N/A, 4.1638590354, -0.832771807081, N/A, RNAV, INT

@15, N/A, 4.1638590354, -0.749494626373, N/A, RNAV, INT

@16, N/A, 4.1638590354, -0.666217445665, N/A, RNAV, INT

@17, N/A, 4.1638590354, -0.582940264957, N/A, RNAV, INT

@18, N/A, 4.1638590354, -0.499663084248, N/A, RNAV, INT

@19, N/A, 4.1638590354, -0.41638590354, N/A, RNAV, INT

@1A, N/A, 4.1638590354, -0.333108722832, N/A, RNAV, INT

@1B, N/A, 4.1638590354, -0.249831542124, N/A, RNAV, INT

@1C, N/A, 4.1638590354, -0.166554361416, N/A, RNAV, INT

@1D, N/A, 4.1638590354, -0.0832771807081, N/A, RNAV, INT

@1E, N/A, 4.1638590354, 0.0, N/A, RNAV, INT

@1F, N/A, 4.1638590354, 0.0832771807081, N/A, RNAV, INT

@1G, N/A, 4.1638590354, 0.166554361416, N/A, RNAV, INT

@1H, N/A, 4.1638590354, 0.249831542124, N/A, RNAV, INT

@1I, N/A, 4.1638590354, 0.333108722832, N/A, RNAV, INT

@1J, N/A, 4.1638590354, 0.41638590354, N/A, RNAV, INT

@1K, N/A, 4.1638590354, 0.499663084248, N/A, RNAV, INT

@1L, N/A, 4.1638590354, 0.582940264957, N/A, RNAV, INT

@1M, N/A, 4.1638590354, 0.666217445665, N/A, RNAV, INT

@1N, N/A, 4.1638590354, 0.749494626373, N/A, RNAV, INT

@1O, N/A, 4.1638590354, 0.832771807081, N/A, RNAV, INT

@1P, N/A, 4.1638590354, 0.916048987789, N/A, RNAV, INT

@1Q, N/A, 4.1638590354, 0.999326168497, N/A, RNAV, INT

@1R, N/A, 4.1638590354, 1.0826033492, N/A, RNAV, INT

@1S, N/A, 4.1638590354, 1.16588052991, N/A, RNAV, INT

@1T, N/A, 4.1638590354, 1.24915771062, N/A, RNAV, INT

@1U, N/A, 4.1638590354, 1.33243489133, N/A, RNAV, INT

@1V, N/A, 4.1638590354, 1.41571207204, N/A, RNAV, INT

@1W, N/A, 4.1638590354, 1.49898925275, N/A, RNAV, INT

@1X, N/A, 4.1638590354, 1.58226643345, N/A, RNAV, INT

@1Y, N/A, 4.1638590354, 1.66554361416, N/A, RNAV, INT

@1Z, N/A, 4.1638590354, 1.74882079487, N/A, RNAV, INT

@20, N/A, 4.1638590354, 1.83209797558, N/A, RNAV, INT

@21, N/A, 4.1638590354, 1.91537515629, N/A, RNAV, INT

@22, N/A, 4.1638590354, 1.99865233699, N/A, RNAV, INT

@23, N/A, 4.1638590354, 2.0819295177, N/A, RNAV, INT

@24, N/A, 4.1638590354, 2.16520669841, N/A, RNAV, INT

@25, N/A, 4.1638590354, 2.24848387912, N/A, RNAV, INT

@26, N/A, 4.1638590354, 2.33176105983, N/A, RNAV, INT

@27, N/A, 4.1638590354, 2.41503824053, N/A, RNAV, INT

@28, N/A, 4.1638590354, 2.49831542124, N/A, RNAV, INT

@29, N/A, 4.1638590354, 2.58159260195, N/A, RNAV, INT

@2A, N/A, 4.1638590354, 2.66486978266, N/A, RNAV, INT

@2B, N/A, 4.1638590354, 2.74814696337, N/A, RNAV, INT

@2C, N/A, 4.1638590354, 2.83142414407, N/A, RNAV, INT

@2D, N/A, 4.1638590354, 2.91470132478, N/A, RNAV, INT

@2E, N/A, 4.1638590354, 2.99797850549, N/A, RNAV, INT

@2F, N/A, 4.1638590354, 3.0812556862, N/A, RNAV, INT

@2G, N/A, 4.1638590354, 3.16453286691, N/A, RNAV, INT

@2H, N/A, 4.1638590354, 3.24781004761, N/A, RNAV, INT

@2I, N/A, 4.1638590354, 3.33108722832, N/A, RNAV, INT

@2J, N/A, 4.1638590354, 3.41436440903, N/A, RNAV, INT

@2K, N/A, 4.1638590354, 3.49764158974, N/A, RNAV, INT

@2L, N/A, 4.1638590354, 3.58091877045, N/A, RNAV, INT

@2M, N/A, 4.1638590354, 3.66419595116, N/A, RNAV, INT

@2N, N/A, 4.1638590354, 3.74747313186, N/A, RNAV, INT

@2O, N/A, 4.1638590354, 3.83075031257, N/A, RNAV, INT

@2P, N/A, 4.1638590354, 3.91402749328, N/A, RNAV, INT

@2Q, N/A, 4.1638590354, 3.99730467399, N/A, RNAV, INT

@2R, N/A, 4.1638590354, 4.0805818547, N/A, RNAV, INT

@2S, N/A, 4.1638590354, 4.1638590354, N/A, RNAV, INT

@2T, N/A, 4.0805818547, 4.1638590354, N/A, RNAV, INT

@2U, N/A, 3.99730467399, 4.1638590354, N/A, RNAV, INT

@2V, N/A, 3.91402749328, 4.1638590354, N/A, RNAV, INT

